City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lupane,-18.9315,27.807,7.32,47,0,2.26,ZW,1687832060
1,adamstown,-25.066,-130.1015,21.78,80,22,9.35,PN,1687832060
2,karymskoye,51.6167,114.35,17.89,92,100,0.84,RU,1687832060
3,minas de marcona,-15.2119,-75.1103,12.36,87,55,5.6,PE,1687832060
4,midvagur,62.0511,-7.1939,10.46,93,75,1.54,FO,1687832061
5,waitangi,-43.9535,-176.5597,12.12,90,100,5.81,NZ,1687831773
6,nar'yan-mar,67.6713,53.087,8.86,85,100,2.21,RU,1687832061
7,mossel bay,-34.1831,22.146,12.96,89,78,9.2,ZA,1687832061
8,kerikeri,-35.2268,173.9474,13.97,79,45,4.08,NZ,1687832061
9,al ghayzah,16.2079,52.176,27.75,85,100,2.37,YE,1687832063
10,edinburgh of the seven seas,-37.0676,-12.3116,15.76,94,100,16.06,SH,1687832063
11,margaret river,-33.95,115.0667,11.91,76,100,1.47,AU,1687832064
12,albany,42.6001,-73.9662,19.96,94,100,1.34,US,1687831201
13,sao jose da coroa grande,-8.8978,-35.1478,23.89,88,74,4.86,BR,1687832064
14,kidatu,-7.6992,36.9572,16.78,82,2,1.07,TZ,1687832064
15,grytviken,-54.2811,-36.5092,-3.75,95,100,1.85,GS,1687832065
16,afaahiti,-17.75,-149.2833,27.93,76,11,6.95,PF,1687832065
17,eisenach,50.9833,10.3167,14.95,72,100,2.04,DE,1687832065
18,isafjordur,66.0755,-23.124,10.76,76,13,2.27,IS,1687832065
19,vorgashor,67.5833,63.95,8.96,78,100,3.63,RU,1687832065
20,stanley,54.868,-1.6985,12.09,88,0,0.51,GB,1687832066
21,la sarre,48.8002,-79.1996,15.84,98,100,4.49,CA,1687831777
22,wailua homesteads,22.0669,-159.378,28.24,75,75,8.23,US,1687831777
23,port mathurin,-19.6833,63.4167,22.49,61,54,5.11,MU,1687831777
24,bethel,41.3712,-73.414,22.2,88,20,1.54,US,1687831855
25,malanje,-9.5402,16.341,13.89,91,2,1.71,AO,1687831777
26,port douglas,-16.4833,145.4667,24.99,70,94,5.82,AU,1687832067
27,tiksi,71.6872,128.8694,13.31,47,24,3.68,RU,1687832067
28,sinabang,2.4803,96.3801,27.26,79,57,0.21,ID,1687832067
29,ushuaia,-54.8,-68.3,-3.19,74,0,3.6,AR,1687832068
30,thompson,55.7435,-97.8558,19.09,34,40,1.54,CA,1687832068
31,constantia,44.1833,28.65,19.38,68,0,5.61,RO,1687831779
32,kashgar,39.4547,75.9797,26.56,23,93,3.89,CN,1687831779
33,coquimbo,-29.9533,-71.3436,13.85,100,100,2.57,CL,1687831996
34,gisborne,-38.6533,178.0042,13.74,75,3,2.21,NZ,1687831990
35,utrik,11.2278,169.8474,28.09,81,16,9.11,MH,1687832069
36,udachny,66.4167,112.4,19.14,39,22,7.0,RU,1687832069
37,papatowai,-46.5619,169.4708,11.66,83,100,2.82,NZ,1687832069
38,georgetown,5.4112,100.3354,30.96,73,20,0.51,MY,1687832070
39,kailua-kona,19.6406,-155.9956,28.98,76,40,3.6,US,1687831938
40,puerto natales,-51.7236,-72.4875,1.53,99,100,3.01,CL,1687832070
41,amarante do maranhao,-5.5667,-46.7422,22.69,56,23,1.69,BR,1687832070
42,talnakh,69.4865,88.3972,14.56,52,92,2.25,RU,1687832070
43,runaway bay,18.4596,-77.3357,27.21,81,100,3.25,JM,1687831711
44,castillos,-34.1667,-53.8333,14.37,95,100,3.13,UY,1687832071
45,saint-philippe,-21.3585,55.7679,17.77,60,0,2.79,RE,1687831783
46,balykshi,47.0667,51.8667,18.0,52,0,4.0,KZ,1687832071
47,borogontsy,62.6683,131.1683,29.65,45,100,0.88,RU,1687832072
48,carnarvon,-24.8667,113.6333,13.75,50,0,10.97,AU,1687832072
49,nemuro,43.3236,145.575,15.37,91,39,7.85,JP,1687831784
50,port-aux-francais,-49.35,70.2167,2.37,99,100,17.18,TF,1687832072
51,olonkinbyen,70.9221,-8.7187,5.84,89,11,5.39,SJ,1687831784
52,shache,38.4167,77.2406,27.73,24,5,3.19,CN,1687832073
53,lazaro cardenas,17.9583,-102.2,27.53,84,98,4.78,MX,1687832073
54,yellowknife,62.456,-114.3525,18.06,57,7,4.55,CA,1687831809
55,iqaluit,63.7506,-68.5145,4.85,75,75,1.54,CA,1687832073
56,yemetsk,63.4721,41.7941,15.93,66,24,1.23,RU,1687832074
57,sumbe,-11.2061,13.8437,19.4,84,85,3.66,AO,1687831785
58,west island,-12.1568,96.8225,26.99,69,40,5.66,CC,1687832074
59,escalquens,43.5174,1.5589,20.84,80,16,2.65,FR,1687832074
60,bilibino,68.0546,166.4372,17.38,43,16,10.68,RU,1687832074
61,blackmans bay,-43.0167,147.3167,12.51,63,64,3.03,AU,1687832075
62,nong kung si,16.65,103.3,30.32,76,100,1.19,TH,1687832075
63,kyzyl-suu,42.3414,78.0056,16.36,47,0,0.76,KG,1687832075
64,puerto ayora,-0.7393,-90.3518,25.31,91,72,1.34,EC,1687831787
65,iskateley,67.6803,53.1512,8.88,85,100,2.21,RU,1687831787
66,shenjiamen,29.9576,122.298,24.64,94,100,6.11,CN,1687832076
67,tabou,4.423,-7.3528,24.25,75,100,3.69,CI,1687832076
68,sitka,57.0531,-135.33,13.94,88,100,7.2,US,1687832076
69,fortuna,40.5982,-124.1573,13.7,94,100,4.12,US,1687831581
70,puerto ayacucho,5.6639,-67.6236,24.87,91,99,1.26,VE,1687832077
71,haenam,34.5711,126.5989,23.55,90,99,4.02,KR,1687832077
72,klyuchi,52.2667,79.1667,21.55,38,90,5.72,RU,1687832077
73,portland,45.5234,-122.6762,27.38,46,75,4.12,US,1687831781
74,gadzhiyevo,69.2551,33.3362,7.64,88,89,0.9,RU,1687832077
75,kununurra,-15.7667,128.7333,25.99,53,100,5.66,AU,1687831901
